source,ID,species,loc_sure,lon,lat,altitude,family,subfam,dom,mon_dicot,pft,phototype,collect_area,regio,country,location,continent,C25,C27,C29,C31,C33,C35,ACL,CPI,,notes
This Study,KU626,Grewia tenax 2002 May 5,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2857,0.2248,0.2156,0.2446,0.0272,0.0021,28.0182,2.038,,
This Study,KU627,Grewia tenax 2002 June 2,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.373,0.2243,0.1794,0.1992,0.0224,0.0018,27.5584,1.888,,
This Study,KU628,Grewia tenax 2002 July 2,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.3092,0.2013,0.217,0.2459,0.0251,0.0015,27.9618,2.606,,
This Study,KU629,Grewia tenax 2002 August 2,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2085,0.2345,0.2871,0.2367,0.0296,0.0036,28.3103,2.599,,
This Study,KU689,Hypoestes verticillaris 2001 October 6,Y,37.528,0.5683,,Acanthaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0234,0.0659,0.6606,0.2423,0.0078,0,29.2905,11.369,,
This Study,KU690,Hypoestes verticillaris 2002 May 5,Y,37.528,0.5683,,Acanthaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1486,0.2129,0.4165,0.2057,0.0137,0.0027,28.4624,2.813,,
This Study,KU691,Hypoestes verticillaris 2002 June 2,Y,37.528,0.5683,,Acanthaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0837,0.1478,0.5069,0.2439,0.0158,0.0019,28.932,5.434,,
This Study,KU692,Cadaba farinosa 2001 October 6,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0116,0.03,0.1141,0.373,0.4603,0.0109,31.5464,7.468,,
This Study,KU693,Cadaba farinosa 2002 May 5,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0269,0.0385,0.0593,0.302,0.5608,0.0124,31.7371,5.687,,
This Study,KU694,Cadaba farinosa 2002 June 2,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0167,0.0252,0.0401,0.3271,0.5821,0.0087,31.9176,6.661,,
This Study,KU695,Combretum spp. 2001 October 10,Y,37.528,0.5683,,Combretaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.3414,0.1478,0.4042,0.1004,0.0062,0,27.5643,3.199,,
This Study,KU696,Combretum spp. 2001 December 3,Y,37.528,0.5683,,Combretaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1112,0.0816,0.3481,0.4112,0.0434,0.0045,29.4146,5.014,,
This Study,KU697,Abutilon longicuspis 2001 October 6,Y,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0223,0.137,0.2456,0.439,0.1488,0.0074,30.154,12.393,,
This Study,KU698,Abutilon longicuspis 2002 May 5,Y,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0658,0.145,0.2368,0.3871,0.1494,0.016,29.9141,4.898,,
This Study,KU699,Abutilon longicuspis 2002 June 2,Y,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0363,0.2043,0.2479,0.3819,0.1209,0.0087,29.7457,7.06,,
This Study,KU700,Cordia sinensis 2001 October 6,Y,37.528,0.5683,,Boraginaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1021,0.2254,0.5747,0.082,0.012,0.0037,28.375,5.025,,
This Study,KU701,Cordia sinensis 2002 May 5,Y,37.528,0.5683,,Boraginaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2632,0.2111,0.439,0.0776,0.0069,0.0023,27.7217,3.22,,
This Study,KU702,Cordia sinensis 2002 June 2,Y,37.528,0.5683,,Boraginaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2687,0.2163,0.4337,0.0768,0.0045,0,27.6642,3.101,,
This Study,KU703,Maerua crassifolia 2001 October 6,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0062,0.0081,0.1013,0.808,0.076,0.0003,30.8805,10.56,,
This Study,KU704,Maerua crassifolia 2002 May 5,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0141,0.015,0.1466,0.7754,0.0485,0.0004,30.6609,7.485,,
This Study,KU705,Maerua crassifolia 2002 June 2,Y,37.528,0.5683,,Capparaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0276,0.0198,0.1192,0.7859,0.0471,0.0004,30.6125,6.752,,
This Study,KU706,Lawsonia inermis 2001 October 6,Y,37.528,0.5683,,Lythraceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2946,0.2295,0.2297,0.2111,0.0351,0,27.9253,11.766,,
This Study,KU707,Lawsonia inermis 2002 May 5,Y,37.528,0.5683,,Lythraceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1391,0.1801,0.2013,0.3583,0.1197,0.0014,29.2872,4.062,,
This Study,KU708,Lawsonia inermis 2002 June 2,Y,37.528,0.5683,,Lythraceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.3666,0.1844,0.1081,0.2288,0.1111,0.001,28.0729,2.642,,
This Study,KU805,Boscia senegalensis,Y,7.951042,16.990325,,Capparaceae,,A,D,Shrub,C3,,,Niger,West,Africa,0.1191,0.3757,0.3949,0.0421,0.0478,0.0205,28.1708,4.741,,
This Study,KU812,Calotropis procea,Y,7.951042,16.990325,,Apocynaceae,,A,D,Shrub,C3,,,Niger,West,Africa,0.0343,0.0072,0.356,0.5278,0.0664,0.0084,30.2202,6.785,,
This Study,KU816,Bauhinia rufescens,Y,7.951042,16.990325,,Fabaceae,,A,D,Shrub,C3,,,Niger,West,Africa,0.0417,0.0494,0.3615,0.5119,0.0344,0.0012,29.9032,7.286,,
This Study,KU839,Aerva lanata,Y,7.532757,16.400736,,Amaranthaceae,,A,D,Shrub,C3,,,Niger,West,Africa,0.0111,0.0367,0.1822,0.6181,0.142,0.0099,30.7459,8.29,,
This Study,KU840,Commicarpus sp. (?),Y,7.532757,16.400736,,Nyctaginaceae,,A,D,Shrub,C4,,,Niger,West,Africa,0.1127,0.1086,0.1128,0.5862,0.0761,0.0037,29.8308,9.876,,
This Study,KU850,Commicarpus sp.,Y,9.506802,16.931249,,Nyctaginaceae,,A,D,Shrub,C4,,,Niger,West,Africa,0.1329,0.144,0.1225,0.5226,0.0707,0.0072,29.5513,8.15,,
Tweedy et al. (2025),KU1072,Allophylus africanus,,34.86934,0.34796,1576,Sapindaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.041457387,0.032123744,0.532562864,0.38562033,0.008235676,0,29.57410633,9.416459575,,
Tweedy et al. (2025),KU1005,Antherotoma senegambiensis,,34.869,0.348,1576,Melastomataceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.016264307,0.106633388,0.350145353,0.439192956,0.087644366,0.00011963,29.95135716,6.661115211,,
Tweedy et al. (2025),KU1004,Dissotis canescens,,34.869,0.348,1576,Melastomataceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.041015907,0.053252475,0.080204866,0.537497556,0.287502038,0.000527158,30.95759764,11.04731223,,
Tweedy et al. (2025),KU1107,Dracena fragrans,,34.86234,0.35295,1601,Dracenaceae,,A,M,Shrub,C3,KAK.ROAD,Kakamega,Kenya,East,Africa,0.003483974,0.053075371,0.499645624,0.425047145,0.018747886,0,29.8049992,21.52175632,,
Tweedy et al. (2025),KU1128,Dracena steudneri,,34.86205,0.35295,1601,Dracenaceae,,A,M,Shrub,C3,KAK.MWANZA,Kakamega,Kenya,East,Africa,0.370785938,0.33670662,0.17770227,0.108743839,0.006061332,0,27.08517601,16.37066385,,
Tweedy et al. (2025),KU1114,Gen et sp. indet,,34.86961,0.34814,1572,Lameaceae,,A,D,Shrub,C3,KAK.OPEN.002T,Kakamega,Kenya,East,Africa,0.039022888,0.041430633,0.285912291,0.342919372,0.257722411,0.032992405,30.67573,5.816656804,,
Tweedy et al. (2025),KU1117,Gen et sp. indet,,34.86961,0.34814,1572,Melastomataceae,,A,D,Shrub,C3,KAK.OPEN.002T,Kakamega,Kenya,East,Africa,0.007329447,0.023588203,0.255315942,0.479401374,0.233982736,0.000382298,30.82053328,9.081276319,,
Tweedy et al. (2025),KU1121,Helichrysum sp.,,34.8696,0.34801,1572,Asteraceae,,A,D,Shrub,C3,KAK.OPEN.004.G,Kakamega,Kenya,East,Africa,0.002892225,0.007453992,0.063062066,0.384536065,0.274019219,0.268036433,32.44689072,13.99353751,,
Tweedy et al. (2025),KU1008,Hibiscus cannabinus,,34.869,0.348,1576,Malvaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.001472737,0.012205816,0.105782019,0.650271832,0.228997813,0.001269783,31.19385104,6.256074307,,
Tweedy et al. (2025),KU1007,Maesa lanceolata,,34.869,0.348,1576,Primulaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.024249373,0.042611395,0.909435969,0.023519298,0.000183965,0,28.86555418,29.0062178,,
Tweedy et al. (2025),KU1124,Pentas sp.,,34.86968,0.34809,1572,Rubiaceae,,A,D,Shrub,C3,KAK.OPEN.005.T,Kakamega,Kenya,East,Africa,0.034656264,0.227550121,0.623011346,0.107845858,0.006206422,0.000729989,28.65117204,8.626230318,,
Tweedy et al. (2025),KU1133,Phyllanthus odontadenius,,34.86934,0.34796,1576,Phyllanthaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.055800017,0.156791217,0.337375355,0.354371509,0.088389006,0.007272895,29.56915391,7.748232933,,
Tweedy et al. (2025),KU1122,Phyllanthus sp.,,34.8696,0.34801,1572,Phyllanthaceae,,A,D,Shrub,C3,KAK.OPEN.004.G,Kakamega,Kenya,East,Africa,0.036757186,0.060194132,0.128021046,0.472814355,0.29464722,0.007566061,30.90219695,7.246318638,,
Tweedy et al. (2025),KU1070,Rubus apetalus,,34.86934,0.34796,1576,Rosaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.075350887,0.174262693,0.534842661,0.190738258,0.014246601,0.010558901,28.85188739,6.094118034,,
Tweedy et al. (2025),KU1069,Sesbania sesban,,34.86934,0.34796,1576,Fabaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.328890254,0.233582185,0.437527561,0,0,0,27.21727461,3.841651182,,
Tweedy et al. (2025),KU1111,Trimfetta sp.,,34.869,0.34808,1572,Malvaceae,,A,D,Shrub,C3,KAK.OPEN.001G,Kakamega,Kenya,East,Africa,0.011295021,0.01685733,0.2395689,0.621568899,0.108004984,0.002704867,30.61249219,15.04145333,,
Tweedy et al. (2025),KU988,Tristemma mauritanium,,34.869,0.348,1576,Melistomataceae,,A,D,Shrub,C3,KAK.FOREST,Kakamega,Kenya,East,Africa,0.004362088,0.036522165,0.233070163,0.51381272,0.212232863,0,30.78606421,7.10968879,,
Tweedy et al. (2025),KU1006,Urena lobata,,34.869,0.348,1576,Malvaceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.004621128,0.013189907,0.099171269,0.527065229,0.350531814,0.005420653,31.44391731,9.626460852,,
Tweedy et al. (2025),KU1126,Vernonia amygdalina,,34.86968,0.34809,1572,Asteraceae,,A,D,Shrub,C3,KAK.OPEN.005.T,Kakamega,Kenya,East,Africa,0.024747234,0.091582982,0.451184387,0.417023915,0.014731061,0.000730421,29.6151997,12.9807163,,
Tweedy et al. (2025),KU1063,Vernonia auriculifera,,34.86934,0.34796,1576,Asteraceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.020375521,0.02130351,0.177379874,0.668630745,0.10762111,0.00468924,30.67177226,16.52347668,,
Tweedy et al. (2025),KU1064,Vernonia auriculifera,,34.86934,0.34796,1576,Asteraceae,,A,D,Shrub,C3,KAK.OPEN,Kakamega,Kenya,East,Africa,0.049926874,0.076646805,0.355004473,0.510542659,0.00787919,0,29.69960097,13.19414616,,
Tweedy et al. (2025),KU972, Flacourtia indica,,37.154,-0.174,2485,Saliaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.002359323,0.067767971,0.50118847,0.420533421,0.007985176,0.000165639,29.72902815,14.79834891,,
Tweedy et al. (2025),KU1179, Lobelia sp.,,37.22313,-0.1684,3225,Lobeliaceae,,A,D,Shrub,C3,MTK.HAG,Mount Kenya,Kenya,East,Africa,0.098223633,0.3182275,0.366701206,0.212740614,0.003721488,0.000385558,28.413331,11.53557878,,
Tweedy et al. (2025),KU1087,Alchemilla argyrophylla,,37.22752,-0.16747,3384,Rosaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.004836052,0.030420807,0.098444992,0.284698419,0.526472202,0.055127527,31.92586498,99.24904983,,
Tweedy et al. (2025),KU1187,Alchemilla fischeri,,37.2356,-0.16725,3608,Rosaceae,,A,D,Shrub,C3,MTK.MOOR.001,Mount Kenya,Kenya,East,Africa,0.025589173,0.025325175,0.027754587,0.066148656,0.426968315,0.428214094,33.25644809,33.70781908,,
Tweedy et al. (2025),KU1170,Alchemilla fischeri,,37.22313,-0.1684,3225,Rosaceae,,A,D,Shrub,C3,MTK.HAG,Mount Kenya,Kenya,East,Africa,0.01832141,0.028727677,0.043097534,0.087623161,0.451966263,0.370263955,33.07395411,76.65309263,,
Tweedy et al. (2025),KU1145,Alchemilla johnstonii,,37.22909,-0.16738,3424,Rosaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.004698994,0.02419953,0.096379635,0.316936942,0.531942675,0.025842224,31.84950289,56.18665444,,
Tweedy et al. (2025),KU1146,Alchemilla johnstonii,,37.22909,-0.16738,3424,Rosaceae,,A,D,Shrub,C3,MTK.MOOR.001,Mount Kenya,Kenya,East,Africa,0.004131038,0.027662446,0.112139708,0.332875537,0.498344169,0.024847103,31.73636132,56.78175272,,
Tweedy et al. (2025),KU1135,Bothriocline fusca,,37.15358,-0.17368,2485,Asteraceae,,A,D,Shrub,C3,MTK.MONT.001,Mount Kenya,Kenya,East,Africa,0.039223965,0.153075301,0.326400596,0.388299191,0.082439985,0.010560962,29.70667763,16.54243016,,
Tweedy et al. (2025),KU1177,Bothriocline fusca,,37.22313,-0.1684,3225,Asteraceae,,A,D,Shrub,C3,MTK.HAG,Mount Kenya,Kenya,East,Africa,0.012112521,0.123618458,0.401845314,0.410538056,0.048925174,0.002960476,29.73885267,20.02419875,,
Tweedy et al. (2025),KU1075,Bothriocline fusca,,37.15358,-0.17368,2485,Asteraceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.029740749,0.110098601,0.361379032,0.446716391,0.050458241,0.001606986,29.76574747,25.59065385,,
Tweedy et al. (2025),KU1085,Bothriocline fusca,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.00611242,0.056710438,0.399235493,0.488786408,0.047686084,0.001469157,30.03926154,35.10369552,,
Tweedy et al. (2025),KU1020,Conyza newii,,37.154,-0.174,2485,Asteraceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.015108979,0.04561969,0.116312915,0.513833884,0.299106919,0.010017613,31.13252582,7.161026156,,
Tweedy et al. (2025),KU1096,Conyza newii,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.017548063,0.042410651,0.11187019,0.573683989,0.248050046,0.006437061,31.02317698,9.136619302,,
Tweedy et al. (2025),KU1150,Conyza ruwenzoriensis,,37.22909,-0.16738,3424,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.005678085,0.014662038,0.072911569,0.611975247,0.286559379,0.008213681,31.36743368,8.400041135,,
Tweedy et al. (2025),KU1144,Conyza vernonioides,,37.22909,-0.16738,3424,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.008351996,0.018254496,0.120227021,0.689473808,0.163025341,0.000667339,30.96513604,9.233713698,,
Tweedy et al. (2025),KU1098,Conyza vernonioides,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.012188234,0.018624161,0.121641924,0.664343623,0.182592394,0.000609664,30.97671355,7.486890857,,
Tweedy et al. (2025),KU1140,Dendrosenecio sp.,,37.2356,-0.16725,3608,Asteraceae,,A,D,Shrub,C3,MTK.MOOR.001,Mount Kenya,Kenya,East,Africa,0.03151486,0.144492698,0.421358813,0.32520119,0.074040824,0.003391615,29.55187053,23.25121367,,
Tweedy et al. (2025),KU1152,Dendrosenecio sp.,,37.22909,-0.16738,3424,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.030189116,0.105667951,0.369482282,0.398408991,0.093057493,0.003194166,29.85612059,38.91852175,,
Tweedy et al. (2025),KU1097,Discopodium eremanthum,,37.22752,-0.16747,3384,Solanaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.066003447,0.177100767,0.477709527,0.247702925,0.024075386,0.007407948,29.01793976,23.53455205,,
Tweedy et al. (2025),KU1019,Droguetia iners,,37.154,-0.174,2485,Urticaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.021631585,0.042693647,0.219066687,0.624841784,0.090788235,0.000978061,30.44679124,14.7771078,,
Tweedy et al. (2025),KU1021,Ekebergia capensis,,37.154,-0.174,2485,Meliaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.0286377,0.073551116,0.266874416,0.543935551,0.087001216,0,30.17422293,9.135669318,,
Tweedy et al. (2025),KU1164,Embelia schimperi,,37.199984,-0.17406,,Primulaceae,,A,D,Shrub,C3,MTK.BAMBZ,Mount Kenya,Kenya,East,Africa,0.011918134,0.042963727,0.479304366,0.43756987,0.028169326,7.45773E-05,29.85466452,10.40039831,,
Tweedy et al. (2025),KU1148,Erica c.f. arborea,,37.22909,-0.16738,3424,Ericaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.013750178,0.049630682,0.25941594,0.560103855,0.10875465,0.008344696,30.45103241,5.286379303,,
Tweedy et al. (2025),KU1147,Erica sp.,,37.22909,-0.16738,3424,Ericaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.00365449,0.085149849,0.287308493,0.377163816,0.245067147,0.001656206,30.55961579,12.84690825,,
Tweedy et al. (2025),KU1084,Erica ventricosa,,37.22752,-0.16747,3384,Ericaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.002970766,0.128635017,0.422508534,0.334131482,0.111754201,0,29.84612667,15.17017748,,
Tweedy et al. (2025),KU1015,Euphorbia engleri,,37.154,-0.174,2485,Euphorbiaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.001978585,0.026050609,0.401777118,0.44619479,0.116414616,0.007584281,30.34353818,24.49712592,,
Tweedy et al. (2025),KU1184,Euphorbia engleri,,37.2356,-0.16725,3608,Eurphobiaceae,,A,D,Shrub,C3,MTK.MOOR.001,Mount Kenya,Kenya,East,Africa,0.004539815,0.041800495,0.38324589,0.486302086,0.082438239,0.001673476,30.21063773,25.0988757,,
Tweedy et al. (2025),KU998,Galiniera saxifraga,,37.154,-0.174,2485,Rubiaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.042198993,0.293436666,0.634230176,0.030134166,0,0,28.30459903,9.63411002,,
Tweedy et al. (2025),KU1100,Helichrysum argyranthum,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.006285193,0.023993577,0.256126571,0.530805369,0.146045436,0.036743855,30.79312768,17.05101978,,
Tweedy et al. (2025),KU1154,Helichrysum forskahlii,,37.22909,-0.16738,3424,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.013758399,0.023522427,0.10949266,0.360271626,0.264042058,0.22891283,32.04811001,16.28031149,,
Tweedy et al. (2025),KU1090,Helichrysum forskahlii,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.04930338,0.08184109,0.170865188,0.407056266,0.210613927,0.080320149,30.77759343,10.15212473,,
Tweedy et al. (2025),KU1175,Hypericum keniensis,,37.22313,-0.1684,3225,Guttiferae,,A,D,Shrub,C3,MTK.HAG,Mount Kenya,Kenya,East,Africa,0.941204965,0.056143064,0.00206656,0.000585412,0,0,25.12406484,25.03193489,,
Tweedy et al. (2025),KU1142,Lobelia gregoriana ssp. Gregoriana,,37.2356,-0.16725,3608,Campanulaceae,,A,D,Shrub,C3,MTK.MOOR.001,Mount Kenya,Kenya,East,Africa,0.0385176,0.253476626,0.424170248,0.275358152,0.007997946,0.000479428,28.92456101,10.19673589,,
Tweedy et al. (2025),KU971,Pavetta abyssinica,,37.154,-0.174,2485,Rubiaceae ,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.051140607,0.121574175,0.733597518,0.09047285,0.00321485,0,28.74609432,6.723060593,,
Tweedy et al. (2025),KU1099,Polygonum afromontanum,,37.22752,-0.16747,3384,Polygonaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.020479983,0.071758054,0.522658354,0.382772159,0.002331449,0,29.54943407,28.66484314,,
Tweedy et al. (2025),KU1172,Polygonum afromontanum,,37.22313,-0.1684,3225,Polygonaceae,,A,D,Shrub,C3,MTK.HAG,Mount Kenya,Kenya,East,Africa,0.042063351,0.077690084,0.600640979,0.278164724,0.00144086,0,29.23845932,41.79675344,,
Tweedy et al. (2025),KU1083,Rubus volkensii,,37.22752,-0.16747,3384,Rosaceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.047062961,0.2152583,0.558695406,0.173190683,0.004783751,0.001008898,28.75280131,10.75777383,,
Tweedy et al. (2025),KU1016,Sambucus africana,,37.154,-0.174,2485,Adoxaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.106213303,0.121337826,0.503872853,0.263387972,0.005188045,0,28.87999926,8.265824899,,
Tweedy et al. (2025),KU1077,Solanum aculeastrum,,37.15358,-0.17368,2485,Solanaceae,,A,D,Shrub,C3,MTK.MONT,Mount Kenya,Kenya,East,Africa,0.001757615,0.00281526,0.003610698,0.169722607,0.805600135,0.016493685,32.64814688,9.839383998,,
Tweedy et al. (2025),KU1149,Stoebe kilimandagasca,,37.22909,-0.16738,3424,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.014219714,0.024180574,0.109397861,0.359657867,0.26501329,0.227530694,32.03931305,15.69164968,,
Tweedy et al. (2025),KU1088,Stoebe kilimandscharica,,37.22752,-0.16747,3384,Asteraceae,,A,D,Shrub,C3,MTK.ERI,Mount Kenya,Kenya,East,Africa,0.043504283,0.088058894,0.296871547,0.471306371,0.091660516,0.008598388,30.01071021,5.889124858,,
Vogts et al. (2009),,Crassocephalum mannii,N,37.6656,-6.778,,Asteraceae,,A,D,Shrub,C3,,Morogoro,Tanzania,East,Africa,0.02,0.081,0.128,0.634,0.123,0.013,30.567,10.92,,
Vogts et al. (2009),,Catophractes alexandri,Y,13.767,-18.483,,Bignoniaceae,,A,D,Shrub,C3,,Baobab Corner,Namibia,South,Africa,0.006,0.052,0.242,0.543,0.155,0.002,30.59,14.66,,
Vogts et al. (2009),,Dichrostachys cinerea,Y,13.767,-18.483,,Fabaceae,,A,D,Shrub,C3,,Baobab Corner,Namibia,South,Africa,0.048,0.081,0.211,0.504,0.149,0.007,30.292,17.27,,
Vogts et al. (2009),,Grewia flavescens,Y,13.767,-18.483,,Malvaceae,,A,D,Shrub,C3,,Baobab Corner,Namibia,South,Africa,0.002,0.02,0.392,0.54,0.042,0.004,30.224,14.62,,
Vogts et al. (2009),,Grewia flavescens,Y,16.48,-20.42,,Malvaceae,,A,D,Shrub,C3,,Omatjenni,Namibia,South,Africa,0.004,0.019,0.542,0.416,0.02,0,29.887,30.19,,
Vogts et al. (2009),,Gymnosporia buxifolia,Y,16.48,-20.42,,Celastraceae,,A,D,Shrub,C3,,Omatjenni,Namibia,South,Africa,0.015,0.1,0.211,0.507,0.158,0.009,30.44,7.04,,
Vogts et al. (2009),,Salvadora persica,Y,14.95,-22.7,,Salvadoraceae,,A,D,Shrub,C3,,Welwitschia Plain,Namibia,South,Africa,0.021,0.152,0.256,0.495,0.066,0.01,29.926,3.23,,
Vogts et al. (2009),,Vachellia mellifera,Y,16.48,-20.42,,Fabaceae,,A,D,Shrub,C3,,Omatjenni,Namibia,South,Africa,0.018,0.173,0.176,0.562,0.071,0,29.99,9.34,,
Vogts et al. (2009),,Vachellia nebrownii,Y,16.93,-18.75,,Fabaceae,,A,D,Shrub,C3,,Namatomi,Namibia,South,Africa,0.064,0.259,0.315,0.251,0.104,0.008,29.221,7.56,,
Vogts et al. (2009),,Combretum indicum,Y,1.6,6.08,,Combretaceae,,A,D,Shrub,C3,,Mono River,Benin,West,Africa,0.034,0.026,0.237,0.63,0.073,0.001,30.399,9.36,,
Vogts et al. (2009),,Combretum indicum,Y,2.47,7.03,,Combretaceae,,A,D,Shrub,C3,,"Zou, Cové",Benin,West,Africa,0.004,0.003,0.244,0.668,0.08,0.002,30.675,29.33,,
Vogts et al. (2009),,Combretum molle,Y,1.55,10.07,,Combretaceae,,A,D,Shrub,C3,,"Kouandé, Atakora",Benin,West,Africa,0.059,0.185,0.397,0.226,0.124,0.01,29.431,4.62,,
Vogts et al. (2009),,Ficus thonningii,Y,1.43,10.13,,Moraceae,,A,D,Shrub,C3,,Perma River,Benin,West,Africa,0.047,0.065,0.482,0.361,0.045,0,29.584,6.48,,
Vogts et al. (2009),,Coffea sp.,Y,12.083,-0.8,,Rubiaceae,,A,D,Shrub,C3,,Ogooué River,Gabon,Central,Africa,0.018,0.014,0.552,0.362,0.039,0.015,29.87,15.81,,
Vogts et al. (2009),,Combretum erosum,Y,11.92,-0.68,,Combretaceae,,A,D,Shrub,C3,,Ogooué-Lolo,Gabon,Central,Africa,0.025,0.15,0.696,0.129,0,0,28.858,15.26,,
Vogts et al. (2009),,Combretum indicum,Y,10.4795,-2.976,,Combretaceae,,A,D,Shrub,C3,,Nyanga River,Gabon,Central,Africa,0.003,0.018,0.543,0.387,0.048,0.001,29.924,27.99,,
Vogts et al. (2009),,Englerina gabonensis,Y,10.3667,-3.0167,,Loranthaceae,,A,D,Shrub,C3,,Maambi River,Gabon,Central,Africa,0.003,0.034,0.83,0.132,0,0,29.155,14.8,,
Vogts et al. (2009),,Ficus natalensis subsp. Leprieurii,Y,14.088,1.37,,Moraceae,,A,D,Shrub,C3,,Djoua River,Congo,Central,Africa,0.007,0.033,0.794,0.162,0.003,0,29.213,17.87,,
